attach,SNPZYXLAUSJWYXCDREYVXVTBGAJ9WTPHBKOWFM99KAIUMBIBLNIXRQVZSVEGYVDBKBPORRBDRTYEELQBD https://hanspetzersnode.org:14267 score: 0.6954814093596039
26064,0
24322,1
72576,2
103582,3
63607,4
64124,5
60180,6
107335,7
139530,8
-1,10
-1,9
-1,11
-1,13
-1,12
-1,14
-1,16
-1,15
-1,17
-1,19
-1,18
-1,20
-1,21
-1,22
-1,23
-1,24
-1,25
-1,26
-1,27
-1,28
-1,29
-1,30
-1,31
-1,33
-1,34
-1,32
-1,35
-1,36
-1,37
-1,38
-1,39
-1,40
-1,42
-1,41
-1,43
-1,44
