attach,https://ultranode.iotatoken.nl:443 score: 222.38190354410807 scoreNorm: 0.9977657966736269
1193,13063,0
21581,4819,1
854,10259,2
13781,19768,3
57218,12513,4
5522,86070,5
71553,81548,6
-1,-1,7
-1,-1,8
-1,-1,10
-1,-1,9
-1,-1,11
-1,-1,12
-1,-1,13
-1,-1,14
-1,-1,15
-1,-1,16
-1,-1,18
-1,-1,17
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,34
-1,-1,35
-1,-1,36
-1,-1,38
-1,-1,37
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,43
-1,-1,42
-1,-1,44
