attach,http://mandelhost.de:14265 score: 71.96968590545654 scoreNorm: 0.316636732873096
9525,607139,0
631896,241696,2
551242,342037,3
348085,551338,4
285696,623672,5
162831,823329,6
98253,902407,7
86571,928833,8
587793,1165562,1
704884,853675,14
602170,911470,17
-1,-1,9
-1,-1,10
-1,-1,11
-1,-1,12
-1,-1,13
-1,-1,15
-1,-1,16
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,34
-1,-1,35
-1,-1,36
-1,-1,37
-1,-1,38
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,42
-1,-1,43
-1,-1,44
