attach,http://mandelhost.de:14265 score: 71.96968590545654 scoreNorm: 0.316636732873096
578,41893,0
53635,38156,1
17200,182220,2
152139,128295,3
78762,381854,4
42617,502140,5
461440,8908,10
662131,76525,7
531598,397893,8
495792,413952,9
-1,-1,6
-1,-1,11
-1,-1,12
-1,-1,13
-1,-1,14
-1,-1,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,34
-1,-1,35
-1,-1,36
-1,-1,37
-1,-1,38
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,42
-1,-1,43
