attach,http://207.180.202.219:14265 score: 76.50241090397657 scoreNorm: 0.3136345380729804
-1,-1,1
-1,-1,0
-1,-1,3
-1,-1,2
-1,-1,4
-1,-1,5
-1,-1,6
-1,-1,7
-1,-1,8
-1,-1,10
-1,-1,9
-1,-1,11
-1,-1,12
-1,-1,14
-1,-1,13
-1,-1,16
-1,-1,15
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,26
-1,-1,25
-1,-1,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,34
-1,-1,35
-1,-1,36
-1,-1,37
-1,-1,38
-1,-1,39
1570314682139,1570314801252,1570314822492,40
1570314802380,1570314823321,1570314868919,41
1570314862415,1570314870568,1570314873828,42
1570314931603,1570314934463,1570314934950,43
1570314981624,1570314983439,1570315093169,44
