attach,http://mandelhost.de:14265 score: 97.26281385040282 scoreNorm: 0.43639121439985995
8215,19703,0
1154,22451,1
20190,46450,2
38351,221894,3
170594,194106,4
28728,448259,5
92077,405331,6
266298,1000410,7
264563,1111629,8
-1,-1,9
-1,-1,10
-1,-1,11
-1,-1,12
-1,-1,13
-1,-1,14
-1,-1,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,34
-1,-1,35
-1,-1,36
-1,-1,37
-1,-1,38
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,42
-1,-1,43
-1,-1,44
