attach,http://207.180.202.219:14265 score: 69.2591565207708 scoreNorm: 0.28122864967557115
-1,-1,1
-1,-1,0
-1,-1,2
-1,-1,4
-1,-1,3
-1,-1,6
-1,-1,5
-1,-1,7
1570339183253,1570339321469,1570339381536,8
-1,-1,9
-1,-1,10
1570339362370,1570339533478,1570339553499,11
-1,-1,12
-1,-1,13
-1,-1,14
1570339602599,1570339764250,1570339767028,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,23
-1,-1,22
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,28
-1,-1,27
-1,-1,29
-1,-1,30
-1,-1,32
-1,-1,31
-1,-1,33
-1,-1,34
-1,-1,36
-1,-1,35
-1,-1,37
-1,-1,38
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,42
-1,-1,43
-1,-1,44
