attach,http://mandelhost.de:14265 score: 58.56251900482178 scoreNorm: 0.30726666801662117
51099,79470,0
37310,97226,1
115326,167784,3
43923,331369,4
8530,377383,5
182257,617374,2
7745,829398,6
523117,387522,7
449657,561632,8
413025,678890,9
376488,827098,10
-1,-1,11
-1,-1,12
-1,-1,13
-1,-1,14
-1,-1,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,34
-1,-1,35
-1,-1,36
-1,-1,37
-1,-1,38
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,42
-1,-1,43
