attach,http://5.189.141.225:14265 score: 97.16876147460938 scoreNorm: 0.4359692275287746
577,18602,0
30230,37660,1
33430,2456,2
359215,389888,3
338527,423468,4
296708,536344,5
282360,657461,6
219154,1378664,7
-1,-1,8
-1,-1,9
-1,-1,10
-1,-1,11
-1,-1,12
-1,-1,13
-1,-1,14
-1,-1,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,25
-1,-1,26
-1,-1,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,34
-1,-1,35
-1,-1,36
-1,-1,37
-1,-1,38
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,42
-1,-1,43
-1,-1,44
